id	lat	lon	club	localidad	provincia	url
164	-34.624776	-58.395795	La Legión Tenis de Mesa	San Cristobal	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=164
166	-34.823923	-58.283927	La Patriada Tenis de Mesa	Florencio Varela	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=166
167	-34.914411	-57.971649	Asociacion Claridad	La Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=167
168	-34.575103	-58.490210	Círculo General Urquiza	Villa Urquiza	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=168
169	-34.636627	-58.493975	El Mirador	CABA	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=169
170	-34.087863	-59.030567	Belgrano de Zarate	Zarate	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=170
171	-34.806173	-58.637190	Refugio San Eugenio	Virrey del Pino	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=171
172	-34.417232	-58.587180	Vito Dumas Tenis de Mesa	Tigre	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=172
173	-34.615075	-58.463253	BAIRES	Caballito	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=173
174	-38.099621	-62.218044	Tenis de Mesa Tornquist	Tornquist	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=174
175	-34.954454	-57.974083	Círculo Campano TDM	La Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=175
176	-34.641769	-58.829985	La Reja	 C.S.C.y D.	La Reja	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=176
177	-34.671826	-58.724219	Independiente de Merlo	Merlo	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=177
178	-34.601526	-58.481650	Villa Sahores	Villa del Parque	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=178
179	-34.618645	-58.401575	MTMs San Cristobal	C.A.B.A.	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=179
181	-34.599574	-58.461008	Sholem Buenos Aires	La Paternal	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=181
182	-34.629616	-58.568498	Union Gral. Armenia de Cultura Física	Villa Sarmiento	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=182
183	-37.326132	-59.138461	UNICEN	Tandil	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=183
184	-34.635168	-58.424386	San Lorenzo de Almagro	Boedo	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=184
185	-34.521382	-58.761329	Liu Pong	Jose C. Paz	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=185
186	-34.529206	-58.554839	Zenit Tenis de Mesa	Villa Ballester	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=186
